What sum of money will earn an interest of $ 162 in 3 years at the rate of 12% per annum,s
How much time will it take for an amount of Rs. 900 to yield Rs. 81 as interest at 4.5% per annum of simple interest?,s
"Arun took a loan of Rs. 1400 with simple interest for as many years as the rate of interest. If he paid Rs.686 as interest at the end of the loan period, what was the rate of interest?",e
A sum of money at simple interest amounts to Rs. 815 in 3 years and to Rs. 854 in 4 years. The sum is ?,s
A sum fetched a total simple interest of Rs. 929.20 at the rate of 8 p.c.p.a. in 5 years. What is the sum?,s
"Rs 10,000 is invested at 5% interest rate p.a. Find the interest at the end of one year.",s
"Rs 3,500 is given at 7% p.a. rate of interest. Find the interest which will be received at the end of two years.",c
"Rs 6,050 is borrowed at 6.5% rate of interest p.a.. Find the interest and the amount
to be paid at the end of 3 years.",c
"Rs 7,000 is borrowed at 3.5% rate of interest p.a. borrowed for 2 years. Find the amount to be paid at the end of the second year.",c
"If Manohar pays an interest of Rs 750 for 2 years on a sum of Rs 4,500, find the rate of interest.",s
A sum of money at simple interest amounts to Rs. 815 in 3 years and to Rs. 854 in 4 years. The sum is:,e
Find the simple interest on Rs.306. 25 from March 3rd to July 27th at 3.75 per annum.,ts
What sum of money will produce Rs.143 interest in 3.25 years at 2.5 p.c. simple interest?,s
A sum of Rs.468.75 was lent out at simple interest and at the end of 1 year 8 months the total amount was Rs500. Find the rate of interest per cent annum.,ts
"In what time will Rs.8500 amount to Rs.15767.50 at 4.5 per cent per annum?
",s
"The simple interest on a sum of money is 1/9th of the principal, and the number of years is equal to the rate per cent per annum. Find the rate per cent.",e
"The rate of interest for the first 2 yrs is 3% per annum, for the next 3 years is 8% per annum and for the period beyond 5 years 10% per annum. To fetch an interest of 1520 in six years, money did he deposit?",e
 A sum of money doubles itself in 10 years at simple interest. What is the rate of interest?,e
"A sum was put at a certain rate for 2 yrs. Had it been put at 3% higher rate, it would have fetched Rs 300 more. Find the sum.",e
The simple interest on a certain sum of money at 4% per annum for 4 yrs is Rs 80 more than the interest on the same sum for 3 yrs at 5% per annum. Find the sum.,e
Find the simple interest on Rs 7000 at 50/3 % for 9 months,s
Find the simple interest on the Rs. 2000 at 25/4% per annum for the period from 4th Feb 2005 to 18th April 2005,ts
Sachin borrows Rs. 5000 for 2 years at 4% p.a. simple interest. He immediately lends money to Rahul at 25/4% p.a. for 2 years. Find the gain of one year by Sachin.,ce
"If A lends Rs. 3500 to B at 10% p.a. and B lends the same sum to C at 11.5% p.a., then the gain of B (in Rs.) in a period of 3 years is",ce
"Sahil took a loan for 6 years at the rate of 5% per annum on Simple Interest, If the total interest paid was Rs. 1230, the principal was",s
There was simple interest of Rs. 4016.25 on a principal amount at the rate of 9%p.a. in 5 years. Find the principal amount,s
" Find the rate at Simple interest, at which a sum becomes four times of itself in 15 years.",e
 How much time will it take for an amount of Rs. 900 to yield Rs. 81 as interest at 4.5% per annum of simple interest?,s
"Arun took a loan of Rs. 1400 with simple interest for as many years as the rate of interest. If he paid Rs.686 as interest at the end of the loan period, what was the rate of interest?",e
A sum of money at simple interest amounts to Rs. 815 in 3 years and to Rs. 854 in 4 years. The sum is :,e
 A sum fetched a total simple interest of Rs. 929.20 at the rate of 8 p.c.p.a. in 5 years. What is the sum?,s
"Mr. Thomas invested an amount of Rs. 13,900 divided in two different schemes A and B at the simple interest rate of 14% p.a. and 11% p.a. respectively. If the total amount of simple interest earned in 2 years be Rs. 3508, what was the amount invested in Scheme B?",
"At 5% per annum simple interest, Rahul borrowed Rs. 500. What amount will he pay to clear the debt after 4 years",s
"If a sum of money doubles itself in 8 years at simple interest, the ratepercent per annum is",e
"A sum of Rs 12,500 amounts to Rs. 15,500 in the 4 years at the rate of simple interest. Find the rate percent",s
What is the present worth of Rs. 132 due in 2 years at 5% simple interest per annum,s
" Reema took a loan of Rs 1200 with simple interest for as many years as the rate of interest. If she paid Rs. 432 as interest at the end of the loan period, what was the rate of interest.",e
The simple interest on a certain sum of money at the rate of 5% p.a. for 8 years is Rs. 840. At what rate of intrest the same amount of interest can be received on the same sum after 5 years.,
 A man took a loan at rate of 12% per annum simple interest. After 3 years he had to pay 5400 interest. The principal amount borrowed by him was.,
